Sample_ID,incubation,Timepoint,time,inject_volume_ul,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol
T10-3-PE,PE,T10,384,50,58.3,100,22,1,0,158.27,790.9139420989565,0.07909139420989565,0.003222925792704006,3.222925792704006
T10-4-PE,PE,T10,384,50,61,100,22,1,0,155.96,827.5428896747229,0.08275428896747229,0.0033721865069458725,3.3721865069458725
T10-5-PE,PE,T10,384,50,57.3,100,22,1,0,157.67,777.3476652190429,0.0777347665219043,0.0031676440466884997,3.1676440466885
T10-1-PP,PP,T10,384,50,58,100,22,1,0,262.41,786.8440590349824,0.07868440590349823,0.003206341268899354,3.206341268899354
T10-2-PP,PP,T10,384,50,62.7,100,22,1,0,257.31,850.6055603705759,0.08506055603705759,0.003466165475172233,3.466165475172233
T10-3-PP,PP,T10,384,50,60.7,100,22,1,0,259.88,823.4730066107488,0.08234730066107489,0.0033556019831412205,3.3556019831412205
T10-4-PP,PP,T10,384,50,63.7,100,22,1,0,258.84,864.1718372504894,0.08641718372504895,0.0035214472211877396,3.5214472211877395
T10-5-PP,PP,T10,384,50,55.2,100,22,1,0,235.11,748.8584837712247,0.07488584837712246,0.0030515523800559367,3.0515523800559365
T11-1-PE,PE,T11,408,50,61.8,100,22,1,0,157.7,838.3959111786536,0.08383959111786536,0.003416411903758277,3.4164119037582767
T11-2-PE,PE,T11,408,50,58.4,100,22,1,0,159.18,792.2705697869478,0.07922705697869478,0.0032284539673055565,3.2284539673055566
T11-3-PE,PE,T11,408,50,57.6,100,22,1,0,160.79,781.417548283017,0.07814175482830171,0.003184228570493152,3.1842285704931523
T11-4-PE,PE,T11,408,50,61.5,100,22,1,0,156.42,834.3260281146796,0.08343260281146797,0.0033998273799536257,3.3998273799536256
T11-5-PE,PE,T11,408,50,59.3,100,22,1,0,129.58,804.4802189788699,0.080448021897887,0.003278207538719512,3.278207538719512
T11-1-PP,PP,T11,408,50,62.4,100,22,1,0,214.03,846.5356773066018,0.08465356773066018,0.0034495809513675813,3.4495809513675812
T11-2-PP,PP,T11,408,50,63.8,100,22,1,0,201.32,865.5284649384806,0.08655284649384806,0.0035269753957892893,3.526975395789289
T11-3-PP,PP,T11,408,50,63.1,100,22,1,0,200.14,856.0320711225412,0.08560320711225412,0.003488278173578435,3.488278173578435
T11-4-PP,PP,T11,408,50,64.6,100,22,1,0,214.96,876.3814864424114,0.08763814864424115,0.0035712007926016944,3.571200792601694
T11-5-PP,PP,T11,408,50,61.9,100,22,1,0,205.43,839.752538866645,0.0839752538866645,0.003421940078359828,3.4219400783598277
T12-1-PE,PE,T12,432,50,55.2,100,22,1,0,142.08,748.8584837712247,0.07488584837712246,0.0030515523800559367,3.0515523800559365
T12-2-PE,PE,T12,432,50,55,100,22,1,0,147.89,746.1452283952419,0.0746145228395242,0.003040496030852836,3.040496030852836
T12-3-PE,PE,T12,432,50,51.7,100,22,1,0,152.44,701.3765146915275,0.07013765146915275,0.002858066269001666,2.858066269001666
T12-4-PE,PE,T12,432,50,53.7,100,22,1,0,147.4,728.5090684513544,0.07285090684513544,0.002968629761032678,2.9686297610326777
T12-5-PE,PE,T12,432,50,59.5,100,22,1,0,143.03,807.1934743548527,0.08071934743548527,0.003289263887922613,3.2892638879226133
T12-1-PP,PP,T12,432,50,60.8,100,22,1,0,252.98,824.8296342987402,0.08248296342987402,0.003361130157742771,3.361130157742771
T12-2-PP,PP,T12,432,50,62.7,100,22,1,0,250.22,850.6055603705759,0.08506055603705759,0.003466165475172233,3.466165475172233
T12-3-PP,PP,T12,432,50,59,100,22,1,0,209.32,800.4103359148959,0.08004103359148959,0.00326162301491486,3.26162301491486
