Sample_ID,incubation,Timepoint,time,inject_volume_ul,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol,mDIC,total_C_umol
T10-3-PP,PP,T10,384,50,60.7,100,22,1,0,259.88,823.4730066107488,0.08234730066107489,0.0033556019831412205,3.3556019831412205,381.4256392753779,384.7812412585191
T10-4-PP,PP,T10,384,50,63.7,100,22,1,0,258.84,864.1718372504894,0.08641718372504895,0.0035214472211877396,3.5214472211877395,400.27698882770306,403.7984360488908
T10-5-PP,PP,T10,384,50,55.2,100,22,1,0,235.11,748.8584837712247,0.07488584837712246,0.0030515523800559367,3.0515523800559365,346.8648317627818,349.9163841428377
T11-1-PE,PE,T11,408,50,61.8,100,22,1,0,157.7,838.3959111786536,0.08383959111786536,0.003416411903758277,3.4164119037582767,390.3843056178384,393.80071752159665
T11-2-PE,PE,T11,408,50,58.4,100,22,1,0,159.18,792.2705697869478,0.07922705697869478,0.0032284539673055565,3.2284539673055566,368.90685191070816,372.1353058780137
T11-3-PE,PE,T11,408,50,57.6,100,22,1,0,160.79,781.417548283017,0.07814175482830171,0.003184228570493152,3.1842285704931523,363.8533333913835,367.03756196187663
T11-4-PE,PE,T11,408,50,61.5,100,22,1,0,156.42,834.3260281146796,0.08343260281146797,0.0033998273799536257,3.3998273799536256,388.4892361730917,391.88906355304533
T11-5-PE,PE,T11,408,50,59.3,100,22,1,0,129.58,804.4802189788699,0.080448021897887,0.003278207538719512,3.278207538719512,374.5920602449486,377.8702677836681
T11-1-PP,PP,T11,408,50,62.4,100,22,1,0,214.03,846.5356773066018,0.08465356773066018,0.0034495809513675813,3.4495809513675812,383.85379240772266,387.30337335909024
T11-2-PP,PP,T11,408,50,63.8,100,22,1,0,201.32,865.5284649384806,0.08655284649384806,0.0035269753957892893,3.526975395789289,392.4658967245625,395.9928721203518
T11-3-PP,PP,T11,408,50,63.1,100,22,1,0,200.14,856.0320711225412,0.08560320711225412,0.003488278173578435,3.488278173578435,388.15984456614257,391.648122739721
T11-4-PP,PP,T11,408,50,64.6,100,22,1,0,214.96,876.3814864424114,0.08763814864424115,0.0035712007926016944,3.571200792601694,397.3870991913282,400.9582999839299
T11-5-PP,PP,T11,408,50,61.9,100,22,1,0,205.43,839.752538866645,0.0839752538866645,0.003421940078359828,3.4219400783598277,380.77804086599406,384.1999809443539
T12-1-PE,PE,T12,432,50,55.2,100,22,1,0,142.08,748.8584837712247,0.07488584837712246,0.0030515523800559367,3.0515523800559365,342.0663172655907,345.11786964564664
T12-2-PE,PE,T12,432,50,55,100,22,1,0,147.89,746.1452283952419,0.0746145228395242,0.003040496030852836,3.040496030852836,340.8269465508604,343.86744258171325
T12-3-PE,PE,T12,432,50,51.7,100,22,1,0,152.44,701.3765146915275,0.07013765146915275,0.002858066269001666,2.858066269001666,320.37732975780875,323.2353960268104
T12-4-PE,PE,T12,432,50,53.7,100,22,1,0,147.4,728.5090684513544,0.07285090684513544,0.002968629761032678,2.9686297610326777,332.77103690511274,335.7396666661454
T12-5-PE,PE,T12,432,50,59.5,100,22,1,0,143.03,807.1934743548527,0.08071934743548527,0.003289263887922613,3.2892638879226133,368.7127876322944,372.00205152021704
T12-1-PP,PP,T12,432,50,60.8,100,22,1,0,252.98,824.8296342987402,0.08248296342987402,0.003361130157742771,3.361130157742771,366.3003874755897,369.66151763333244
T12-2-PP,PP,T12,432,50,62.7,100,22,1,0,250.22,850.6055603705759,0.08506055603705759,0.003466165475172233,3.466165475172233,377.7472745842019,381.21344005937414
T12-3-PP,PP,T12,432,50,59,100,22,1,0,209.32,800.4103359148959,0.08004103359148959,0.00326162301491486,3.26162301491486,355.45596810953606,358.7175911244509
T12-4-PP,PP,T12,432,50,62.7,100,22,1,0,259.11,850.6055603705759,0.08506055603705759,0.003466165475172233,3.466165475172233,377.7472745842019,381.21344005937414
T12-5-PP,PP,T12,432,50,59.7,100,22,1,0,241.22,809.9067297308354,0.08099067297308354,0.0033003202371257147,3.3003202371257148,359.67324230744583,362.97356254457156
T13-1-PE,PE,T13,504,50,61.4,100,22,1,0,154.3,832.9694004266883,0.08329694004266883,0.0033942992053520747,3.3942992053520746,359.96479677988157,363.35909598523364
T13-2-PE,PE,T13,504,50,64,100,22,1,0,162.14,868.2417203144634,0.08682417203144634,0.0035380317449923908,3.5380317449923906,375.2076057640459,378.7456375090383
T13-3-PE,PE,T13,504,50,60.2,100,22,1,0,161.64,816.6898681707921,0.08166898681707922,0.003327961110133468,3.327961110133468,352.92965417180574,356.2576152819392
T13-4-PE,PE,T13,504,50,64.8,100,22,1,0,157.4,879.0947418183941,0.08790947418183942,0.003582257141804796,3.5822571418047957,379.89770083609653,383.47995797790134
T13-5-PE,PE,T13,504,50,64.2,100,22,1,0,158.44,870.9549756904461,0.08709549756904461,0.0035490880941954923,3.549088094195492,376.3801295320586,379.9292176262541
T13-1-PP,PP,T13,504,50,58.8,100,22,1,0,256.62,797.6970805389132,0.07976970805389132,0.0032505666657117586,3.2505666657117587,333.61649920341324,336.867065869125
